18-7-1 23:30:24.6|Info|MigrationLogger|*** 7: add_renameEpisodes_to_naming migrating ***
18-7-1 23:30:24.6|Info|add_renameEpisodes_to_naming|Starting migration to 7
18-7-1 23:30:24.6|Info|MigrationLogger|*** 8: remove_backlog migrating ***
18-7-1 23:30:24.6|Info|remove_backlog|Starting migration to 8
18-7-1 23:30:24.6|Info|MigrationLogger|*** 9: fix_rename_episodes migrating ***
18-7-1 23:30:24.6|Info|fix_rename_episodes|Starting migration to 9
18-7-1 23:30:24.6|Info|MigrationLogger|*** 10: add_monitored migrating ***
18-7-1 23:30:24.6|Info|add_monitored|Starting migration to 10
18-7-1 23:30:24.6|Info|MigrationLogger|*** 11: remove_ignored migrating ***
18-7-1 23:30:24.6|Info|remove_ignored|Starting migration to 11
18-7-1 23:30:24.6|Info|MigrationLogger|*** 12: remove_custom_start_date migrating ***
18-7-1 23:30:24.6|Info|remove_custom_start_date|Starting migration to 12
18-7-1 23:30:24.7|Info|MigrationLogger|*** 13: add_air_date_utc migrating ***
18-7-1 23:30:24.7|Info|add_air_date_utc|Starting migration to 13
18-7-1 23:30:24.7|Info|MigrationLogger|*** 14: drop_air_date migrating ***
18-7-1 23:30:24.7|Info|drop_air_date|Starting migration to 14
18-7-1 23:30:24.7|Info|MigrationLogger|*** 15: add_air_date_as_string migrating ***
18-7-1 23:30:24.7|Info|add_air_date_as_string|Starting migration to 15
18-7-1 23:30:24.7|Info|MigrationLogger|*** 16: updated_imported_history_item migrating ***
18-7-1 23:30:24.7|Info|updated_imported_history_item|Starting migration to 16
18-7-1 23:30:24.7|Info|MigrationLogger|*** 17: reset_scene_names migrating ***
18-7-1 23:30:24.7|Info|reset_scene_names|Starting migration to 17
18-7-1 23:30:24.7|Info|MigrationLogger|*** 18: remove_duplicates migrating ***
18-7-1 23:30:24.7|Info|remove_duplicates|Starting migration to 18
18-7-1 23:30:24.8|Info|MigrationLogger|*** 19: restore_unique_constraints migrating ***
18-7-1 23:30:24.8|Info|restore_unique_constraints|Starting migration to 19
18-7-1 23:30:24.8|Info|MigrationLogger|*** 20: add_year_and_seasons_to_series migrating ***
18-7-1 23:30:24.8|Info|add_year_and_seasons_to_series|Starting migration to 20
